Name,Age,Education,Employment,Income,Poverty Level
Deborah Byrd,57,No Education,Employed,321215,Above Poverty Line
Richard Combs,25,Tertiary,Employed,53602,Middle Class
Curtis Holder,34,Tertiary,Self-employed,50705,Middle Class
Jeffrey Johnson,27,Primary,Unemployed,7744,Below Poverty Line
Michael Reyes,70,Secondary,Self-employed,68518,Middle Class
Jacob Brown,80,Tertiary,Self-employed,978644,Above Poverty Line
Kayla Russell,82,Primary,Self-employed,354671,Above Poverty Line
James Robbins,76,No Education,Self-employed,220303,Above Poverty Line
Lacey Morgan,76,Primary,Employed,695214,Above Poverty Line
Michelle Cisneros,59,Primary,Self-employed,42764,Middle Class
Joshua Tyler,78,Primary,Unemployed,11221,Middle Class
Bethany Greene,18,Tertiary,Employed,199765,Above Poverty Line
Eric Lopez,79,Secondary,Self-employed,524543,Above Poverty Line
Kimberly Adams,52,No Education,Self-employed,593019,Above Poverty Line
Manuel French,18,Tertiary,Unemployed,5648,Below Poverty Line
Allison Hall,55,Secondary,Unemployed,5897,Below Poverty Line
Dennis Moore,56,No Education,Employed,122992,Above Poverty Line
Michael Sanchez,81,Tertiary,Employed,272095,Above Poverty Line
Elizabeth Cervantes,69,Primary,Unemployed,13122,Middle Class
Kevin Lyons,27,Tertiary,Employed,820819,Above Poverty Line
Jennifer Macias,34,Secondary,Unemployed,14252,Middle Class
Sandra Bauer,53,No Education,Unemployed,12196,Middle Class
Thomas Warner,19,No Education,Self-employed,482997,Above Poverty Line
Chad Brown,28,Primary,Unemployed,3073,Below Poverty Line
Jasmine Yu,43,Secondary,Unemployed,12251,Middle Class
Kimberly Christensen,78,Primary,Unemployed,14000,Middle Class
Don Moreno,41,Tertiary,Unemployed,12806,Middle Class
Natalie Brown,81,No Education,Self-employed,217474,Above Poverty Line
Joshua Jackson,20,Primary,Employed,350340,Above Poverty Line
Bryan Dominguez,71,Tertiary,Self-employed,704576,Above Poverty Line
William Ferguson,81,Primary,Self-employed,899587,Above Poverty Line
Charles Castaneda,75,Primary,Unemployed,6878,Below Poverty Line
Gordon Cohen,78,Secondary,Employed,981520,Above Poverty Line
John Brennan,53,No Education,Unemployed,12094,Middle Class
Tonya Johnson,71,No Education,Employed,583657,Above Poverty Line
Gregory Buchanan,35,Secondary,Employed,847667,Above Poverty Line
Lisa Jennings,41,Tertiary,Self-employed,608345,Above Poverty Line
James Chambers,41,Primary,Employed,68193,Middle Class
Kelly Castillo,61,Secondary,Employed,748899,Above Poverty Line
Jeffery Velez,50,Primary,Self-employed,609811,Above Poverty Line
Joshua Frederick,54,No Education,Unemployed,2290,Below Poverty Line
Evan Moon,21,No Education,Self-employed,890849,Above Poverty Line
Paula Scott,67,Primary,Unemployed,6371,Below Poverty Line
Kelsey King,41,Secondary,Self-employed,99400,Middle Class
Paula Richardson,44,Tertiary,Self-employed,318651,Above Poverty Line
Ryan Mack,65,Primary,Unemployed,5995,Below Poverty Line
Shannon Lewis,25,Tertiary,Unemployed,12436,Middle Class
Larry Castillo,18,Primary,Employed,65682,Middle Class
Alicia Yates,65,Primary,Employed,648516,Above Poverty Line
Hector Kennedy,61,Secondary,Unemployed,10193,Middle Class
Theresa Merritt,37,Secondary,Self-employed,997933,Above Poverty Line
Bradley Hall,56,No Education,Self-employed,461803,Above Poverty Line
Nicole George,61,Tertiary,Unemployed,8355,Below Poverty Line
Kelly Smith,70,Primary,Unemployed,2278,Below Poverty Line
David Lam,68,Primary,Self-employed,517404,Above Poverty Line
Timothy Mcgee,33,No Education,Employed,582940,Above Poverty Line
Laura Myers,28,No Education,Employed,64478,Middle Class
John Sandoval,44,No Education,Unemployed,15429,Middle Class
Thomas Evans,28,Primary,Employed,470115,Above Poverty Line
Johnathan Berg,46,Tertiary,Self-employed,934668,Above Poverty Line
Monica White,22,Secondary,Employed,240356,Above Poverty Line
Dennis Kaiser,78,No Education,Self-employed,561781,Above Poverty Line
Douglas Petty,32,Primary,Employed,856530,Above Poverty Line
Madison Greer,78,Tertiary,Self-employed,731354,Above Poverty Line
Amanda Murray,39,Tertiary,Unemployed,12255,Middle Class
Linda Henderson,30,Tertiary,Unemployed,12323,Middle Class
Caleb Conley,67,Tertiary,Employed,64086,Middle Class
Donald Glass,70,Primary,Self-employed,372489,Above Poverty Line
Roy Bush,58,Secondary,Employed,841240,Above Poverty Line
Derek Sanchez,60,Secondary,Self-employed,784806,Above Poverty Line
Shawn Hughes,22,Primary,Self-employed,599387,Above Poverty Line
Katie Blair,21,Tertiary,Unemployed,11896,Middle Class
Jeremy Wang,63,No Education,Employed,95895,Middle Class
Courtney Owens,45,No Education,Employed,486256,Above Poverty Line
Adriana Frost,40,Primary,Unemployed,4565,Below Poverty Line
Carlos Higgins,72,No Education,Employed,446333,Above Poverty Line
Barbara Gonzalez,33,Tertiary,Employed,448883,Above Poverty Line
Scott Gross,78,Tertiary,Self-employed,169434,Above Poverty Line
Kathy Gomez,33,Primary,Unemployed,18442,Middle Class
Daniel Villarreal,47,Secondary,Self-employed,327554,Above Poverty Line
Shannon Aguilar,68,Primary,Unemployed,4155,Below Poverty Line
Victor Robinson,38,No Education,Unemployed,5251,Below Poverty Line
Jerry Parks,48,Primary,Unemployed,15032,Middle Class
Natasha Pena,28,Secondary,Unemployed,9749,Below Poverty Line
Timothy Barnett,29,No Education,Self-employed,654891,Above Poverty Line
Jamie Duarte,32,Secondary,Self-employed,877155,Above Poverty Line
Candace Parrish,49,Secondary,Employed,494940,Above Poverty Line
Taylor Mclean,32,Tertiary,Unemployed,9602,Below Poverty Line
Jamie Kelly,74,No Education,Unemployed,9612,Below Poverty Line
Dwayne Gregory,54,Secondary,Unemployed,16808,Middle Class
Kevin Nguyen,75,Secondary,Self-employed,752622,Above Poverty Line
Alan Tran,56,Secondary,Self-employed,98168,Middle Class
Peter Webb,57,Tertiary,Employed,251492,Above Poverty Line
Stephanie Guerrero,48,No Education,Unemployed,16468,Middle Class
Debra Reynolds,45,Secondary,Unemployed,9274,Below Poverty Line
Kristin Howell,19,Secondary,Self-employed,992859,Above Poverty Line
Kevin Davis,29,Secondary,Employed,867835,Above Poverty Line
James Wright,22,Tertiary,Self-employed,813932,Above Poverty Line
Cody Mcclain,81,Secondary,Employed,103913,Above Poverty Line
John Landry,19,Tertiary,Employed,608138,Above Poverty Line
Sarah Martinez,62,Primary,Unemployed,8223,Below Poverty Line
Michael Davis,47,No Education,Employed,525978,Above Poverty Line
Jeffrey Matthews,46,Primary,Employed,162691,Above Poverty Line
Maria Hall,43,No Education,Self-employed,143761,Above Poverty Line
Robert Wu,80,Primary,Employed,733465,Above Poverty Line
Kelly Lopez,49,Tertiary,Unemployed,2888,Below Poverty Line
Ruth Sawyer,52,Primary,Unemployed,2103,Below Poverty Line
Colleen Hicks,49,Tertiary,Employed,596800,Above Poverty Line
Kimberly Henderson,47,No Education,Unemployed,11619,Middle Class
Todd Parker,22,No Education,Employed,546252,Above Poverty Line
Joanna Thompson,55,Secondary,Employed,593013,Above Poverty Line
Brandy Fox,23,Secondary,Unemployed,15086,Middle Class
Donna Wilson,30,Tertiary,Unemployed,12878,Middle Class
Michelle Collins,73,Secondary,Unemployed,8217,Below Poverty Line
Evelyn Diaz,42,Secondary,Employed,765737,Above Poverty Line
Kevin Fowler,86,No Education,Unemployed,11317,Middle Class
Tommy Gay,83,Tertiary,Self-employed,794396,Above Poverty Line
Gregory Alvarez,77,No Education,Unemployed,5413,Below Poverty Line
Kristopher Clark,81,Primary,Unemployed,9593,Below Poverty Line
Donald King,52,Primary,Employed,336689,Above Poverty Line
Erin Howe,39,No Education,Employed,477850,Above Poverty Line
Jessica Stevenson,34,Tertiary,Unemployed,18200,Middle Class
Mackenzie Jackson,32,No Education,Employed,993871,Above Poverty Line
Samantha Joyce,18,Tertiary,Employed,944416,Above Poverty Line
Donald Montoya,31,Primary,Self-employed,212423,Above Poverty Line
Stephanie Fowler,38,No Education,Employed,841922,Above Poverty Line
Lauren Santos,33,Primary,Unemployed,15977,Middle Class
Julie Williamson,77,Primary,Unemployed,15413,Middle Class
Dr. Linda Brooks,41,Secondary,Self-employed,683406,Above Poverty Line
Stephen Cowan,64,Secondary,Employed,634734,Above Poverty Line
Jill Palmer,65,Tertiary,Employed,422420,Above Poverty Line
Jacob Newton,81,Secondary,Unemployed,10719,Middle Class
Molly Williams,62,Secondary,Employed,362758,Above Poverty Line
Laurie Coleman,42,Secondary,Self-employed,379447,Above Poverty Line
Douglas Miller,47,No Education,Unemployed,11609,Middle Class
Erica Becker,22,Secondary,Self-employed,821669,Above Poverty Line
Michelle Bender,76,Tertiary,Employed,182898,Above Poverty Line
Joel Brown,28,No Education,Unemployed,14182,Middle Class
Cynthia Baker,26,No Education,Unemployed,3163,Below Poverty Line
Jessica Harrington,33,No Education,Self-employed,758719,Above Poverty Line
Rachel Evans,37,Tertiary,Unemployed,4542,Below Poverty Line
Emily Chavez,25,Primary,Employed,210477,Above Poverty Line
Amy Johnson,51,Secondary,Employed,668928,Above Poverty Line
Clayton Murphy,74,No Education,Employed,825901,Above Poverty Line
Joseph Branch,42,Primary,Employed,986713,Above Poverty Line
William Ellis,76,No Education,Employed,698292,Above Poverty Line
Bradley Horne,83,Tertiary,Employed,717289,Above Poverty Line
Samantha Terry,56,Tertiary,Self-employed,630676,Above Poverty Line
Victor Guzman,41,Secondary,Self-employed,176645,Above Poverty Line
Kelly Bridges,47,Primary,Unemployed,13208,Middle Class
Emma Mcneil,86,Primary,Self-employed,875549,Above Poverty Line
Patty Contreras,73,No Education,Employed,671274,Above Poverty Line
Michael Craig,24,Secondary,Employed,939725,Above Poverty Line
Kayla Morris,22,No Education,Self-employed,961099,Above Poverty Line
Wendy Hobbs,56,Primary,Self-employed,127383,Above Poverty Line
Christine Barrera,80,Primary,Unemployed,10792,Middle Class
Martin Grimes IV,52,Primary,Unemployed,11361,Middle Class
Mathew Allen,80,Secondary,Unemployed,8059,Below Poverty Line
Lauren Brown,46,No Education,Unemployed,10258,Middle Class
Christina Taylor,20,Primary,Employed,917209,Above Poverty Line
Patricia Howe,66,No Education,Self-employed,953006,Above Poverty Line
Monique Williams,25,Tertiary,Unemployed,10066,Middle Class
William Ramirez,86,Secondary,Self-employed,344049,Above Poverty Line
David Rios,18,Tertiary,Unemployed,11078,Middle Class
Anthony Collins,57,Secondary,Unemployed,15597,Middle Class
Samantha Perez,39,Secondary,Unemployed,16361,Middle Class
Michael Wyatt,78,No Education,Self-employed,293927,Above Poverty Line
Jonathan Malone,80,Primary,Self-employed,929062,Above Poverty Line
Wayne Andersen,48,Secondary,Unemployed,2732,Below Poverty Line
Heather Lopez,40,Secondary,Employed,332040,Above Poverty Line
Andrew Jones,25,Primary,Unemployed,1313,Below Poverty Line
Shannon Long,23,Tertiary,Unemployed,11567,Middle Class
Melanie Fletcher,52,No Education,Employed,742669,Above Poverty Line
Kevin Moreno,43,Tertiary,Unemployed,8739,Below Poverty Line
Jacob Lewis,77,No Education,Self-employed,724409,Above Poverty Line
Nicholas Bailey,86,Tertiary,Unemployed,11979,Middle Class
Ryan Johnson,86,Primary,Self-employed,486492,Above Poverty Line
Scott Price,70,Tertiary,Unemployed,1378,Below Poverty Line
Chloe Johnson,31,Secondary,Self-employed,108513,Above Poverty Line
Jennifer Ortega,49,No Education,Unemployed,8106,Below Poverty Line
Steve Jackson Jr.,19,Primary,Self-employed,928946,Above Poverty Line
Dana Gibson,65,No Education,Employed,857792,Above Poverty Line
Kenneth Barnes,73,Primary,Unemployed,6804,Below Poverty Line
Susan Matthews,71,No Education,Self-employed,469972,Above Poverty Line
William Ellison,31,Secondary,Employed,917620,Above Poverty Line
Laura Boone,32,Secondary,Unemployed,9711,Below Poverty Line
Calvin Anderson,84,No Education,Employed,537601,Above Poverty Line
Mr. Michael Macdonald,41,No Education,Unemployed,3065,Below Poverty Line
Renee Rowe,23,Secondary,Self-employed,148698,Above Poverty Line
Glenn Rush,26,Tertiary,Employed,365235,Above Poverty Line
Helen Johnson,62,Secondary,Unemployed,4137,Below Poverty Line
Adam Berry,26,Primary,Self-employed,760586,Above Poverty Line
Mary Johnson,68,No Education,Employed,497119,Above Poverty Line
Michael Barry,52,Primary,Employed,649896,Above Poverty Line
Patricia Hayden DDS,22,Secondary,Employed,53798,Middle Class
Melissa Bartlett,57,Secondary,Unemployed,10858,Middle Class
James Rodriguez,71,Primary,Unemployed,14235,Middle Class
Richard Fox,29,Secondary,Employed,677694,Above Poverty Line
Amy Walker,34,Primary,Unemployed,10778,Middle Class
Diana Leonard,46,No Education,Self-employed,817308,Above Poverty Line
Rodney Mullins,49,Secondary,Self-employed,326520,Above Poverty Line
Michael Nicholson,58,No Education,Self-employed,99616,Middle Class
Katherine Rojas,52,Secondary,Self-employed,533993,Above Poverty Line
Kayla Gomez,81,Tertiary,Self-employed,488380,Above Poverty Line
Rebecca Carter MD,44,Primary,Self-employed,656843,Above Poverty Line
Tommy Stewart,27,No Education,Employed,475799,Above Poverty Line
Michael Hill,46,Secondary,Employed,431908,Above Poverty Line
Ashley Cruz,19,Secondary,Unemployed,1665,Below Poverty Line
Christopher Fox,81,Tertiary,Employed,24436,Middle Class
Claudia Brown,24,Secondary,Unemployed,9082,Below Poverty Line
Ryan Woodard,73,No Education,Employed,408030,Above Poverty Line
Michael Aguilar,22,Secondary,Employed,916742,Above Poverty Line
Brittany Spencer,58,Primary,Self-employed,163914,Above Poverty Line
Connie Greene,70,Tertiary,Self-employed,294980,Above Poverty Line
Timothy Burns,69,Primary,Unemployed,13035,Middle Class
Kathryn Rivera,62,Primary,Employed,472079,Above Poverty Line
Shawn David,87,Primary,Self-employed,770006,Above Poverty Line
Karen Roberts,75,No Education,Self-employed,363380,Above Poverty Line
Stephanie Mitchell,25,Primary,Self-employed,610160,Above Poverty Line
Alice Kirby,86,No Education,Self-employed,673128,Above Poverty Line
Timothy Scott,77,Primary,Employed,726065,Above Poverty Line
Kenneth Morton,18,Secondary,Unemployed,14606,Middle Class
Rebecca Clark,70,Tertiary,Unemployed,13021,Middle Class
Jay Stokes,61,Secondary,Unemployed,11116,Middle Class
Michael Burns,38,Secondary,Self-employed,129113,Above Poverty Line
Benjamin Hill,69,Primary,Unemployed,4758,Below Poverty Line
Juan Williams,79,Secondary,Self-employed,745193,Above Poverty Line
Bridget Finley,59,Primary,Self-employed,73319,Middle Class
Kayla Silva,75,Tertiary,Unemployed,10840,Middle Class
Lynn Gomez,54,Tertiary,Self-employed,167129,Above Poverty Line
Karen Ramsey,52,No Education,Employed,281160,Above Poverty Line
Joseph Underwood,83,Tertiary,Unemployed,9959,Below Poverty Line
Kimberly Young,19,Secondary,Self-employed,584123,Above Poverty Line
Jennifer Schneider,79,Primary,Unemployed,17073,Middle Class
Mason Boyd,82,No Education,Unemployed,5855,Below Poverty Line
Mrs. Jodi Oconnor,82,No Education,Unemployed,1339,Below Poverty Line
Carolyn Jones,73,Primary,Self-employed,723935,Above Poverty Line
Mathew Gray,66,Primary,Self-employed,962371,Above Poverty Line
Juan Hunt,28,No Education,Self-employed,799353,Above Poverty Line
Kevin Carroll,79,Primary,Unemployed,11589,Middle Class
Gabriel Hutchinson,32,Primary,Employed,418999,Above Poverty Line
Larry Berry,86,Tertiary,Self-employed,923992,Above Poverty Line
Laura Davis,62,Primary,Unemployed,9904,Below Poverty Line
Katie Lopez,34,Primary,Employed,866036,Above Poverty Line
Sarah Morse,21,Secondary,Unemployed,11095,Middle Class
Sharon Johnson,70,Tertiary,Employed,986672,Above Poverty Line
Lori Roberts,24,Secondary,Unemployed,10328,Middle Class
Reginald Thompson,60,Primary,Unemployed,10436,Middle Class
Nicholas Moreno,51,No Education,Employed,376678,Above Poverty Line
Cassidy Cooper,29,Tertiary,Self-employed,495753,Above Poverty Line
Lauren Butler,54,No Education,Unemployed,17119,Middle Class
Kendra Evans DDS,48,Tertiary,Self-employed,169537,Above Poverty Line
Joshua Williams,41,Primary,Self-employed,147822,Above Poverty Line
Brad Vargas,47,Tertiary,Self-employed,913190,Above Poverty Line
Eric Cox,36,No Education,Self-employed,609406,Above Poverty Line
Frank Browning,34,Tertiary,Employed,872819,Above Poverty Line
Lynn Rose,82,Secondary,Self-employed,202230,Above Poverty Line
Natalie Lynch,87,Secondary,Unemployed,13965,Middle Class
Anthony Torres,87,Secondary,Unemployed,17369,Middle Class
Kristie Hill,37,No Education,Employed,599159,Above Poverty Line
Tom Jones,28,Secondary,Self-employed,701209,Above Poverty Line
Fernando Brady,37,No Education,Employed,527802,Above Poverty Line
Natalie Bauer,72,No Education,Unemployed,14731,Middle Class
Brenda Rivera,69,Primary,Self-employed,722629,Above Poverty Line
Melanie Kerr,42,Primary,Employed,481858,Above Poverty Line
Rebecca Bradley,67,Secondary,Employed,758940,Above Poverty Line
Tanner Ortiz,85,Tertiary,Self-employed,638484,Above Poverty Line
James Austin,36,Secondary,Self-employed,645784,Above Poverty Line
Amy Gonzalez,77,Primary,Self-employed,821657,Above Poverty Line
Joanna Gallagher,81,Tertiary,Self-employed,369772,Above Poverty Line
Robert Spencer,62,Primary,Self-employed,874872,Above Poverty Line
Mary Blackwell,86,No Education,Self-employed,824833,Above Poverty Line
Kevin Maldonado,32,Primary,Unemployed,13302,Middle Class
Susan Wyatt,51,No Education,Employed,756900,Above Poverty Line
Allen Powers,33,Tertiary,Unemployed,6553,Below Poverty Line
Tyler Hernandez,76,Tertiary,Employed,275371,Above Poverty Line
Alexis Jenkins,85,Secondary,Unemployed,7792,Below Poverty Line
Dominique Levine,66,No Education,Employed,828250,Above Poverty Line
John Yu,34,Secondary,Self-employed,301543,Above Poverty Line
Angela Rose,60,No Education,Self-employed,814604,Above Poverty Line
